# Donnees Temperature / Potentiel(calibré),pour V :  écart type =6.0841172175194815 et moyenne = 454.5878136200716
-242.02,450.00
-242.02,450.00
-242.02,450.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,440.00
-242.02,450.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,440.00
-242.02,460.00
-242.02,460.00
-242.02,440.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,440.00
-242.02,460.00
-242.02,450.00
-242.02,450.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,450.00
-242.02,440.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,440.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,440.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,470.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,440.00
-242.02,450.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
-242.02,460.00
