# Donnees Temperature / Potentiel(calibré),pour V :  écart type =10.487509120632344 et moyenne = 370.36649214659684
-242.02,370.00
-242.02,370.00
-242.02,360.00
-242.02,380.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,360.00
-242.02,380.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,370.00
-242.02,380.00
-242.02,360.00
-242.02,380.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,360.00
-242.02,380.00
-242.02,360.00
-242.02,390.00
-242.02,360.00
-242.02,370.00
-242.02,390.00
-242.02,350.00
-242.02,400.00
-242.02,350.00
-242.02,380.00
-242.02,380.00
-242.02,360.00
-242.02,400.00
-242.02,350.00
-242.02,390.00
-242.02,370.00
-242.02,370.00
-242.02,390.00
-242.02,360.00
-242.02,380.00
-242.02,380.00
-242.02,360.00
-242.02,400.00
-242.02,360.00
-242.02,380.00
-242.02,380.00
-242.02,360.00
-242.02,400.00
-242.02,350.00
-242.02,380.00
-242.02,370.00
-242.02,370.00
-242.02,380.00
-242.02,360.00
-242.02,390.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,360.00
-242.02,390.00
-242.02,360.00
-242.02,380.00
-242.02,380.00
-242.02,360.00
-242.02,400.00
-242.02,360.00
-242.02,390.00
-242.02,370.00
-242.02,370.00
-242.02,380.00
-242.02,350.00
-242.02,390.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,360.00
-242.02,390.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,370.00
-242.02,390.00
-242.02,360.00
-242.02,390.00
-242.02,360.00
-242.02,370.00
-242.02,380.00
-242.02,360.00
-242.02,390.00
-242.02,370.00
-242.02,380.00
-242.02,370.00
-242.02,380.00
-242.02,360.00
-242.02,360.00
-242.02,390.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,370.00
-242.02,370.00
-242.02,360.00
-242.02,380.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,360.00
-242.02,380.00
-242.02,360.00
-242.02,380.00
-242.02,360.00
-242.02,370.00
-242.02,380.00
-242.02,360.00
-242.02,390.00
-242.02,370.00
-242.02,370.00
-242.02,370.00
-242.02,360.00
-242.02,380.00
-242.02,360.00
-242.02,390.00
-242.02,370.00
-242.02,360.00
-242.02,380.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,380.00
-242.02,370.00
-242.02,360.00
-242.02,370.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,370.00
-242.02,380.00
-242.02,350.00
-242.02,390.00
-242.02,370.00
-242.02,370.00
-242.02,380.00
-242.02,360.00
-242.02,390.00
-242.02,360.00
-242.02,370.00
-242.02,370.00
-242.02,360.00
-242.02,370.00
-242.02,360.00
-242.02,370.00
-242.02,380.00
-242.02,370.00
-242.02,380.00
-242.02,360.00
-242.02,380.00
-242.02,370.00
-242.02,360.00
-242.02,380.00
-242.02,350.00
-242.02,380.00
-242.02,360.00
-242.02,370.00
-242.02,370.00
-242.02,360.00
-242.02,370.00
-242.02,360.00
-242.02,370.00
-242.02,370.00
